ID,Name,Code,R,G,B
1,Black,BLK,0,0,0
2,Dark Gray,DGR,60,60,60
3,Gray,GRY,120,120,120
4,Light Gray,LGY,210,210,210
5,White,WHT,255,255,255
6,Deep Red,DRD,96,0,24
7,Red,RED,237,28,36
8,Orange,ORG,255,127,39
9,Gold,GLD,246,170,9
10,Yellow,YEL,249,221,59
11,Light Yellow,LYL,255,250,188
12,Dark Green,DGN,14,185,104
13,Green,GRN,19,230,123
14,Light Green,LGN,135,255,94
15,Dark Teal,DTL,12,129,110
16,Teal,TEL,16,174,130
17,Light Teal,LTL,19,225,190
18,Cyan,CYN,96,247,242
19,Dark Blue,DBL,40,80,158
20,Blue,BLU,64,147,228
21,Indigo,IND,107,80,246
22,Light Indigo,LIN,153,177,251
23,Dark Purple,DPU,120,12,153
24,Purple,PUR,170,56,185
25,Light Purple,LPU,224,159,249
26,Dark Pink,DPK,203,0,122
27,Pink,PNK,236,31,128
28,Light Pink,LPK,243,141,169
29,Dark Brown,DBR,104,70,52
30,Brown,BRN,149,104,42
31,Beige,BEI,248,178,119
32,Transparent,TRN,0,0,0
